State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Yield,Avg_Annual_Rainfall,MNREGA_JobCards_Issued,MNREGA_Active_Workers,Yield_Lag1,Production_Lag1,Yield_Pct_Change,Yield_Rolling_3Y,Yield_Shock
ANDHRA PRADESH,ANANTAPUR,2013,Kharif     ,Urad,48.0,45.0,0.9375,572.7,323800.0,487015.0,0.935483870967742,29.0,0.0021551724137931494,0.8014112903225806,0
ANDHRA PRADESH,ANANTAPUR,2014,Kharif     ,Urad,188.0,249.0,1.324468085106383,572.7,323800.0,487015.0,0.9375,45.0,0.41276595744680855,1.065817318691375,0
ANDHRA PRADESH,ANANTAPUR,2000,Rabi       ,Urad,363.0,292.0,0.8044077134986226,572.7,323800.0,487015.0,0.0,0.0,0.0,0.0,0
ANDHRA PRADESH,ANANTAPUR,2001,Rabi       ,Urad,127.0,86.0,0.6771653543307087,572.7,323800.0,487015.0,0.8044077134986226,292.0,-0.158181425951893,0.0,0
ANDHRA PRADESH,ANANTAPUR,2002,Rabi       ,Urad,408.0,236.0,0.5784313725490197,572.7,323800.0,487015.0,0.6771653543307087,86.0,-0.14580483356133145,0.6866681467927837,0
ANDHRA PRADESH,ANANTAPUR,2005,Rabi       ,Urad,11.0,7.0,0.6363636363636364,572.7,323800.0,487015.0,0.5784313725490197,236.0,0.10015408320493058,0.6306534544144549,0
ANDHRA PRADESH,ANANTAPUR,2006,Rabi       ,Urad,24.0,19.0,0.7916666666666666,572.7,323800.0,487015.0,0.6363636363636364,7.0,0.24404761904761907,0.6688205585264408,0
ANDHRA PRADESH,ANANTAPUR,2009,Rabi       ,Urad,17.0,13.0,0.7647058823529411,572.7,323800.0,487015.0,0.7916666666666666,19.0,-0.03405572755417963,0.7309120617944146,0
ANDHRA PRADESH,ANANTAPUR,2010,Rabi       ,Urad,559.0,299.0,0.5348837209302325,572.7,323800.0,487015.0,0.7647058823529411,13.0,-0.30053667262969586,0.6970854233166134,1
ANDHRA PRADESH,ANANTAPUR,2011,Rabi       ,Urad,446.0,313.0,0.7017937219730942,572.7,323800.0,487015.0,0.5348837209302325,299.0,0.3120491323844805,0.6671277750854226,0
ANDHRA PRADESH,ANANTAPUR,2012,Rabi       ,Urad,153.0,156.0,1.0196078431372548,572.7,323800.0,487015.0,0.7017937219730942,313.0,0.452859738144459,0.7520950953468605,0
ANDHRA PRADESH,ANANTAPUR,2013,Rabi       ,Urad,4.0,3.0,0.75,572.7,323800.0,487015.0,1.0196078431372548,156.0,-0.26442307692307687,0.8238005217034496,1
ANDHRA PRADESH,ANANTAPUR,2014,Rabi       ,Urad,42.0,61.0,1.4523809523809523,572.7,323800.0,487015.0,0.75,3.0,0.9365079365079365,1.0739962651727357,0
ANDHRA PRADESH,ANANTAPUR,1997,Rabi       ,Wheat,300.0,200.0,0.6666666666666666,572.7,323800.0,487015.0,0.0,0.0,0.0,0.0,0
ANDHRA PRADESH,ANANTAPUR,1998,Rabi       ,Wheat,400.0,200.0,0.5,572.7,323800.0,487015.0,0.6666666666666666,200.0,-0.25,0.0,1
ANDHRA PRADESH,ANANTAPUR,1999,Rabi       ,Wheat,439.0,294.0,0.6697038724373576,572.7,323800.0,487015.0,0.5,200.0,0.33940774487471526,0.6121235130346747,0
ANDHRA PRADESH,ANANTAPUR,2000,Rabi       ,Wheat,520.0,297.0,0.5711538461538461,572.7,323800.0,487015.0,0.6697038724373576,294.0,-0.1471546310832026,0.580285906197068,0
ANDHRA PRADESH,ANANTAPUR,2001,Rabi       ,Wheat,307.0,213.0,0.6938110749185668,572.7,323800.0,487015.0,0.5711538461538461,297.0,0.2147533971638207,0.6448895978365902,0
ANDHRA PRADESH,ANANTAPUR,2002,Rabi       ,Wheat,362.0,333.0,0.919889502762431,572.7,323800.0,487015.0,0.6938110749185668,213.0,0.32585012839467753,0.7282848079449481,0
ANDHRA PRADESH,ANANTAPUR,2003,Rabi       ,Wheat,414.0,123.0,0.2971014492753623,572.7,323800.0,487015.0,0.919889502762431,333.0,-0.6770248509378944,0.6369340089854533,1
ANDHRA PRADESH,ANANTAPUR,2004,Rabi       ,Wheat,393.0,88.0,0.2239185750636132,572.7,323800.0,487015.0,0.2971014492753623,123.0,-0.2463228449078384,0.4803031757004688,1
ANDHRA PRADESH,ANANTAPUR,2005,Rabi       ,Wheat,297.0,175.0,0.5892255892255892,572.7,323800.0,487015.0,0.2239185750636132,88.0,1.6314279155188247,0.3700818711881883,0
ANDHRA PRADESH,ANANTAPUR,2006,Rabi       ,Wheat,190.0,50.0,0.2631578947368421,572.7,323800.0,487015.0,0.5892255892255892,175.0,-0.5533834586466165,0.3587673530086815,1
ANDHRA PRADESH,ANANTAPUR,2008,Rabi       ,Wheat,164.0,217.0,1.3231707317073171,572.7,323800.0,487015.0,0.2631578947368421,50.0,4.028048780487805,0.7251847385565829,0
ANDHRA PRADESH,ANANTAPUR,2009,Rabi       ,Wheat,179.0,97.0,0.5418994413407822,572.7,323800.0,487015.0,1.3231707317073171,217.0,-0.5904538784336946,0.7094093559283139,1
